category,rank,offer_id,title,price_cny,booked_count,shop
宠物用品,4,940753160510,宠物梳子一键按压去浮毛褪毛梳狗狗猫咪除毛梳专用猫梳子宠物用品,1.61,40019,义乌市迪尼日用品厂
宠物用品,5,562386609701,猫粮现货批发 鲜肉粮营养全期通用  5斤 厂家批发代发,75,28660,全双宠物用品
宠物用品,6,667649707220,全价猫粮批发全阶适配高性价比低敏易消化猫舍多猫囤货力荐20kg,22.41,27719,小顽童生物
宠物用品,7,811711314913,猫咪零食猫条整箱批发猫粮孕猫营养罐头成猫粮湿包,0.14,26625,樱闲宠物食品
宠物用品,8,864785270212,宠物用品反光牵引绳多色尼龙圆绳大中型防爆冲狗绳泡棉手柄牵引带,2.95,23046,乐檬宠物用品
宠物用品,9,669049021260,宠物吸水毛巾批发多功能加厚鹿皮巾狗狗猫咪清洁速干浴巾不沾毛,2.7,16577,金华舒邦日用品
宠物用品,10,971396927272,狗狗剪毛专用剪刀宠物美容剪刀修毛剪刀套装弯剪泰迪剪狗毛神器,5.9,14364,sw森威宠物
美妆护肤,1,820918604626,修眉刀片碳钢刮眉刀片波纹刀片一次性修眉刀纹绣眉刀美妆工具,0.49,68060,麦欧丽彩妆汇
美妆护肤,2,563177676893,达人爆款牛奶洁面乳 男女专用正品深层清洁不紧绷氨基酸牛奶洗面,2.5,37133,广州名美化妆品有限公司
美妆护肤,3,657784383771,芙诗婷维E尿素霜护肤霜 补水保湿滋润皮肤呵护肌肤面霜秋季爆款,2.79,23250,广州市芙诗婷化妆品厂
美妆护肤,4,669824675005,源头工厂顶基大马士革玫瑰纯露补水保湿爽肤水抖音爆款护肤品批发,19,21432,顶基生物科技
美妆护肤,5,757109494905,抖音爆款氨基酸洁面乳120g补水控油清洁卸妆洁面泡洗面奶厂家批发,1.2,17089,禾玺精细化工
美妆护肤,6,604824414750,厂家供应不锈钢眉毛夹美妆斜口拔眉毛修眉工具多功能镊子化妆眉夹,0.82,12042,飞亿饰品有限公司
美妆护肤,7,704042273932,一支装点彩刷腮红刷细光锋仿羊毛过渡自然双层平头高光小化妆刷子,1.29,11642,广州市黛俐化妆刷厂家
美妆护肤,8,675128442848,恒娇涂抹式水光玻尿酸原液补水精华液水光原液工厂代发抖音爆款,1.46,10999,bsmm01
美妆护肤,9,888199086526,气垫粉扑美妆蛋黄派干湿两用化妆海绵棉花糖拇指黄油粉扑化妆工具,0.23,10888,广州吾阿王医疗
美妆护肤,10,659137143374,新款皮面气垫粉扑不吃粉BB霜化妆海绵粉扑亲水性干湿两用美妆工具,1.5,9282,嘉沐化妆品
家居日用,1,607267993869,pvc透明化妆包ins风 旅行便携防水手提加厚洗漱包化妆品收纳包,2.7,46221,迈越电子商务有限公司
家居日用,2,842954762222,衣架家用无痕加粗款成人款衣架子居家防滑晾晒晾衣撑衣服撑子批发,5.01,17698,景鑫供应链
家居日用,3,902626245447,新款大容量衣服被子收纳包短途行李袋拉杆便携女可折叠旅行收纳袋,6.8,17231,义乌文序家居
家居日用,4,731762116385,搬家打包袋10个装大容量一次性衣服棉被被子收纳袋子防尘整理神器,2.97,16870,义乌市旭轩日用品厂
家居日用,5,838896805851,全球仓马桶清洁剂强力除垢除臭厕所马桶去污垢去尿碱去异味清洁刷,6.63,13166,全球仓家清
家居日用,6,735940895321,床垫防滑凉席被褥榻榻米固定器防滑垫家用硅胶床上板薄止滑垫网布,0.36,10794,麦然日用品厂
家居日用,7,779661405977,搬家打包袋10个装大容量一次性棉被被子衣服收纳袋子搬家专用神器,4.05,7768,义乌市晨涛日用品有限公司
家居日用,8,902406934561,超大容量搬家打包袋一次性棉被被子衣服行李防尘收纳袋专用神器,6.99,7315,浙江宝健医疗用品
家居日用,9,889736171660,日式软底轻便拖鞋女2025新款家居室内浴室洗澡防滑防臭静音凉拖男,4.5,7139,春档贸易
家居日用,10,935076211631,新款室内家居防滑防臭女夏季拖鞋软底厚底EVA男夏外穿凉拖鞋批发,5.6,6337,双福鞋业168
电子数码,1,593434412288,跨境爆款发光蓝牙耳机头戴式重低音手机无线运动游戏礼品耳麦厂家,20,42145,深圳市俊发电子厂
电子数码,2,592633678902,工厂直销cr2032纽扣电池电子产品遥控器蜡烛灯玩具3V锂锰扣式电池,0.18,39959,新威邦电池
电子数码,3,818422607683,工厂现货5V2A1A慢充USB插头台灯带小风扇充电头电器头电源适配器,2.5,10962,深圳启达科技
电子数码,4,769279716360,爆款单耳数显超长待机蓝牙耳机跨境外贸无线蓝牙耳机音大超长续航,3.2,4679,动感音脉
电子数码,5,897114484376,跨境热销120W户外露营直播移动电源 大容量160000毫安PD快充电宝,50,4579,钱钱钱数码
电子数码,6,800030129232,跨境爆款M47无线蓝牙耳机高清通话不入耳夹耳式软硅胶耳机超长续,24,4495,品悦音科技
电子数码,7,676683011095,对讲机领夹式无线迷你耳挂美容院美发餐厅微型小巧蓝牙对讲器批发,59,3777,科迈通通讯科技
电子数码,8,592936354435,挂卡装CR2430纽扣电池遥控器闪光玩具电子产品3V锂锰扣式电池,0.55,3754,新威邦电池
电子数码,9,988619598328,厂家爆款P9PROMAX头戴式蓝牙耳机无线长续航耳麦无线运动游戏通用,10.18,3223,博胜捷电子厂
电子数码,10,629936967219,LR44的纽扣电池AG13碱性1.55V电子产品手表夜灯玩具锌锰扣式电池,0.07,2115,泓冠电池厂
五金工具,1,679604179574,热熔胶枪厂家批发多色多功率胶枪7mm11mm胶棒手工热熔枪不烫手,4.5,52514,乔特电动工具有限公司
五金工具,2,581920871439,批发南威电动工具无刷手电钻锂电钻手枪钻电动螺丝刀冲击钻电转,149,26734,南威工具有限公司
五金工具,3,565606704202,福瑞德厂家直销锂电池充电手电钻多功能电动螺丝刀家用电动工具,65,13906,jiataitools2
五金工具,4,856066881736,德力西电气热熔胶枪细嘴防滴60w热熔枪家用手工高粘迷你胶棒胶枪,12,12912,arz艾瑞泽工具
五金工具,5,642647854380,跨境代发飞机钻裸机家用手持搅拌钻多功能打灰机腻子搅拌电钻,75,7770,永康紫茜贸易有限公司
五金工具,6,582211549920,拓森工具批发多功能开口梅花镜面两用扳手双头手动大规格梅开扳手,1.65,7646,拓森五金工具
五金工具,7,776507904758,支撑双插孔偏心滚轮浴室柜安装承重神器可调节升降固定和辅助工具,25.5,5035,蓝火石30
五金工具,8,583185566291,厂家直销多功能锂电池手电钻电动螺丝刀五金工具套装组合工具箱,195,5018,jiataitools
五金工具,9,731465488023,源头厂家 尖咀钳 斜咀钳 钢丝钳 老虎钳 量大优惠 君鼎牌工具,4.3,3885,佛山市俊之钿五金有限公司
五金工具,10,902008485444,不锈钢柜门合页修复片柜门衣柜铰链修复神器安装板垫板铰链修复片,0.38,1197,hfwj0663
